factor,ic_mean,ic_std,icir,ic_t_stat,ic_win_rate,rankic_mean,rankic_std,rankicir,rankic_win_rate,n_obs
turnover_mean_20,-0.039040730004072724,0.24698067550900338,-0.15807200269257318,-4.882352626103504,0.4444444444444444,-0.07437803847220481,0.24524592838787293,-0.30327940186868646,0.38469601677148846,954
turnover_mean_5,-0.03471292139597393,0.24705356863174685,-0.1405076704142506,-4.355737782841769,0.449531737773153,-0.07338451421909688,0.2439956434271843,-0.300761575855747,0.38189386056191466,961
turnover_mean_60,-0.03535118816328855,0.24811779592762773,-0.14247743911766797,-4.35431194267612,0.45717344753747324,-0.06922146242133609,0.2488332958557359,-0.2781840837789974,0.39079229122055675,934
volatility_60,-0.03411306180491832,0.2606867257859916,-0.13085845357896408,-3.997077837193276,0.44587352625937837,-0.06588822988652106,0.2581436748111376,-0.2552385989496974,0.36977491961414793,933
volatility_10,-0.028986388605093512,0.2333329324086675,-0.12422759318999914,-3.8450396777626574,0.44780793319415446,-0.06327385817584362,0.22675487399551678,-0.2790407855889996,0.3757828810020877,958
volatility_20,-0.02963524160343531,0.24790889690345494,-0.11954085542551701,-3.6903096561696196,0.45435466946484787,-0.0598591042642104,0.24399884479911568,-0.24532535927984583,0.37985309548793283,953
amount_mean_20,-0.04336296821459943,0.18817605660998166,-0.23043828739845787,-7.117522132130963,0.42138364779874216,-0.05591447585521073,0.18555450676991658,-0.3013372018203978,0.38259958071278827,954
volatility_5,-0.02367889678166444,0.2221511962247556,-0.10658910320567413,-3.3025425728220763,0.4708333333333333,-0.054786196658230875,0.21313818865152687,-0.25704542674801606,0.3875,960
amount_mean_5,-0.037698635111460606,0.19139143011363383,-0.19697138523432314,-6.106112942264018,0.4214360041623309,-0.05324377398709973,0.18727656244856994,-0.2843055921731882,0.3829344432882414,961
amplitude_5,-0.020086449971374012,0.23280928459352648,-0.086278560610003,-2.674635378910093,0.4588969823100936,-0.05270071897228451,0.23022776385811958,-0.22890687938385187,0.3891779396462019,961
amount_mean_60,-0.04054867030587588,0.18214975921351578,-0.22261171511264402,-6.803328693282212,0.4143468950749465,-0.05152886242160099,0.18353739074892983,-0.2807540317062149,0.39400428265524623,934
amplitude_10,-0.016129109396182065,0.23059283746685547,-0.06994627228393598,-2.166076934265113,0.456725755995829,-0.05103473199762465,0.2286980905440395,-0.22315329295588102,0.3795620437956204,959
amplitude_20,-0.015151128117628651,0.2408475177219334,-0.06290755354647724,-1.9430187131665944,0.46750524109014674,-0.044937750455796975,0.24082218134258157,-0.18660137619080355,0.40356394129979034,954
close_to_high_20,0.016842793617464703,0.23142230583813675,0.07277947368325431,2.24793162869545,0.5429769392033543,0.03683739818555208,0.2413332885201822,0.1526411810464823,0.5754716981132075,954
corr_ret_volume_20,-0.012677813575784846,0.1703075923199495,-0.0744406834897154,-2.2980358649443304,0.4690451206715635,-0.0223528689154542,0.17810323169858258,-0.12550512813424763,0.43651626442812175,953
corr_ret_amount_20,-0.012628238147006032,0.16765586482012057,-0.0753223763484503,-2.3252543389863916,0.47639034627492133,-0.02197001943139437,0.17569439629734773,-0.12504678518153756,0.4386149003147954,953
close_position_20,0.020648797935344743,0.21543010370404309,0.0958491760451082,2.960482997636356,0.5366876310272537,0.018340918357487086,0.2263049692217882,0.08104514196288916,0.5314465408805031,954
corr_close_volume_20,-0.009805389312735975,0.1844450147681781,-0.053161584904097274,-1.6419960476437903,0.48427672955974843,-0.01832684017150449,0.19140250641044296,-0.09575026218415589,0.46540880503144655,954
volume_mean_60,0.011507941638790398,0.17767992888195103,0.0647678199288124,1.9793961315111281,0.5224839400428265,0.014073294099951797,0.21338537178951109,0.06595247828812775,0.5438972162740899,934
ret_120,0.0020490855880229276,0.29319591544595447,0.0069887930904707326,0.2029158493813873,0.49347568208778175,0.012981724959309292,0.2928773955222263,0.04432477602500435,0.5361803084223014,843
close_to_low_20,-0.00021783912636428207,0.22286318749051165,-0.0009774567474206861,-0.030190599450766607,0.5178197064989518,-0.01242105308270965,0.21714362266774953,-0.057202016481575635,0.49056603773584906,954
volume_mean_5,0.017395050656187207,0.1826548020924432,0.09523456518478732,2.9522715207284067,0.5379812695109261,0.012056980280875281,0.21212291283525886,0.05683959417547269,0.5400624349635796,961
ret_20_div_vol_20,0.015961753176509743,0.23297800691934203,0.06851184533497949,2.103882647151574,0.5397667020148462,0.011393195704601775,0.2433794416507918,0.04681248188969501,0.5270413573700954,943
ret_5,0.009295311073316485,0.22753416588526204,0.04085237501432556,1.2644453524965107,0.5135699373695198,0.010979929843715128,0.2343386497311534,0.046854967613374605,0.5250521920668059,958
volume_mean_20,0.01036309427689824,0.1849014943513944,0.05604656854316055,1.7311042211755732,0.5146750524109015,0.01010336610546683,0.2159159093382288,0.04679306002245564,0.5303983228511531,954
volume_chg_5_20,0.020890720094848245,0.17364725869992986,0.12030549892496911,3.7158627625751737,0.5262054507337526,0.009782183182949891,0.17533270934445463,0.05579211785139325,0.5052410901467506,954
turnover_chg_5_20,0.020158947898335746,0.17340130977183424,0.11625603015837303,3.590787264510117,0.5293501048218029,0.009353190120887419,0.17498790835786898,0.05345049385789071,0.5020964360587002,954
amount_chg_5_20,0.019165275629116584,0.18231197737567503,0.10512351357817981,3.2469384447658927,0.5230607966457023,0.0070116228370991065,0.18408708975651092,0.038088617981702405,0.5083857442348009,954
ret_60,-0.003591428125943497,0.28342497704406855,-0.012671530093782388,-0.38077895221587854,0.5005537098560354,-0.006452024727287146,0.28758801297541586,-0.022434957078126514,0.5094130675526024,903
corr_ret_volume_10,-0.0005952351433937065,0.16779827797929744,-0.0035473256970321543,-0.1097953176487505,0.5041753653444676,-0.005787810019924043,0.1793328782576188,-0.03227411546704573,0.4979123173277662,958
ret_3,0.003878396681142334,0.22489171453728046,0.017245618359583492,0.534335941613726,0.5145833333333333,0.005568752462226484,0.22743873185358723,0.024484626768897684,0.5125,960
ret_20,0.0045056963889701885,0.2511404836096878,0.01794094016308719,0.5509358636911859,0.5227995758218452,0.004168449193513358,0.2514463899646617,0.016577884431346154,0.5090137857900318,943
ret_10,0.006848163046972564,0.22768209503858353,0.03007774083338463,0.9285208562219597,0.5194123819517313,0.0041629585629782305,0.2318175528981942,0.017957909187344627,0.5068205666316894,953
ret_1,-0.002108152305033971,0.22763032702752986,-0.00926129805532902,-0.28724957665102785,0.4896049896049896,-0.0017937292512716619,0.22566191975771582,-0.007948745863712926,0.5083160083160083,962
ret_60_div_vol_60,0.004018709822718808,0.2657438795313607,0.015122492490911934,0.4544302702960402,0.5171650055370985,-0.0015155406716694235,0.2752019566006498,-0.005507012705831341,0.5138427464008859,903
close_position_60,0.004237611594238251,0.2430928807796901,0.01743206786083838,0.5327486354474806,0.5074946466809421,0.0003778164000561569,0.25507489818915474,0.0014811978863399616,0.5,934
